IMDB id,Title,Year,Rating,Genre,Top_cast
tt1187043,3 Idiots,2009,8.4,"Comedy, Drama","['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi', 'Kareena Kapoor']"
tt0986264,Like Stars on Earth,2007,8.3,"Drama, Family","['Darsheel Safary', 'Aamir Khan', 'Tanay Chheda', 'Sachet Engineer', 'Tisca Chopra']"
tt2338151,PK,2014,8.1,"Comedy, Drama, Sci-Fi","['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Boman Irani', 'Saurabh Shukla']"
tt5074352,Dangal,2016,8.3,"Action, Biography, Drama","['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Aparshakti Khurana']"
tt0405508,Rang De Basanti,2006,8.1,"Comedy, Crime, Drama","['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi', 'Kunal Kapoor']"
tt0169102,Lagaan: Once Upon a Time in India,2001,8.1,"Drama, Musical, Sport","['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne']"
tt1188996,My Name Is Khan,2010,7.9,"Adventure, Drama, Romance","['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane', 'Kenton Duty']"
tt0367110,Swades,2004,8.2,"Drama, Musical","['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth', 'Lekh Tandon']"
tt1954470,Gangs of Wasseypur,2012,8.2,"Action, Comedy, Crime","['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha', 'Reema Sen']"
tt1954470,Gangs of Wasseypur,2012,8.2,"Action, Comedy, Crime","['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha', 'Reema Sen']"
tt2082197,Barfi!,2012,8.1,"Comedy, Drama, Romance","['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz"", 'Saurabh Shukla', 'Roopa Ganguly']"
tt0871510,Chak De! India,2007,8.1,"Drama, Family, Sport","['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge', 'Shilpa Shukla', 'Chitrashi Rawat']"
tt0374887,Munna Bhai M.B.B.S.,2003,8.1,"Comedy, Drama","['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh', 'Boman Irani', 'Sunil Dutt']"
tt3863552,Bajrangi Bhaijaan,2015,8.1,"Action, Adventure, Comedy","['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui', 'Kareena Kapoor', 'Sharat Saxena']"
tt0292490,Dil Chahta Hai,2001,8.1,"Comedy, Drama, Romance","['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity G Zinta', 'Sonali Kulkarni']"
tt1562872,Zindagi Na Milegi Dobara,2011,8.2,"Comedy, Drama, Musical","['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif', 'Kalki Koechlin']"
